Chidamber-Kemerer metrics,Wed, 13 May 2020 14:56:17 CEST
Class,CBO,DIT,LCOM,NOC,RFC,WMC
"net.sf.jabref.gui.groups.GroupAddRemoveDialog.AddRemoveGroupTreeCellRenderer",3,1,1,0,3,2
"net.sf.jabref.gui.groups.GroupDialog",24,0,4,0,50,43
"net.sf.jabref.gui.groups.GroupMatcher",3,0,1,0,2,1
"net.sf.jabref.gui.groups.GroupSelector",60,3,2,0,134,91
"net.sf.jabref.gui.groups.GroupSelector.AddGroupAction",13,1,1,0,22,5
"net.sf.jabref.gui.groups.GroupSelector.AddSubgroupAction",15,1,1,0,22,3
"net.sf.jabref.gui.groups.GroupSelector.CollapseSubtreeAction",4,1,1,0,7,2
"net.sf.jabref.gui.groups.GroupSelector.EditGroupAction",19,1,1,0,27,5
"net.sf.jabref.gui.groups.GroupSelector.ExpandSubtreeAction",4,1,1,0,7,2
"net.sf.jabref.gui.groups.GroupSelector.GroupingWorker",12,1,1,0,16,8
"net.sf.jabref.gui.groups.GroupSelector.MoveNodeDownAction",4,1,1,0,6,2
"net.sf.jabref.gui.groups.GroupSelector.MoveNodeLeftAction",4,1,1,0,6,2
"net.sf.jabref.gui.groups.GroupSelector.MoveNodeRightAction",4,1,1,0,6,2
"net.sf.jabref.gui.groups.GroupSelector.MoveNodeUpAction",4,1,1,0,6,2
"net.sf.jabref.gui.groups.GroupSelector.NodeAction",16,0,1,14,4,4
"net.sf.jabref.gui.groups.GroupSelector.RemoveGroupAndSubgroupsAction",14,1,1,0,17,3
"net.sf.jabref.gui.groups.GroupSelector.RemoveGroupKeepSubgroupsAction",14,1,1,0,20,3
"net.sf.jabref.gui.groups.GroupSelector.RemoveSubgroupsAction",12,1,1,0,17,3
"net.sf.jabref.gui.groups.GroupSelector.SortAllSubgroupsAction",12,1,1,0,15,2
"net.sf.jabref.gui.groups.GroupSelector.SortDirectSubgroupsAction",12,1,1,0,15,2
"net.sf.jabref.gui.groups.GroupTreeCellRenderer",5,0,1,1,14,21
"net.sf.jabref.gui.groups.GroupTreeNodeViewModel",49,0,4,0,83,70
"net.sf.jabref.gui.groups.GroupsTree",18,0,11,0,50,60
"net.sf.jabref.gui.groups.RemoveFromGroupAction",11,0,1,0,19,7
"net.sf.jabref.gui.groups.TransferableEntrySelection",3,0,3,0,6,10
"net.sf.jabref.gui.groups.UndoableAddOrRemoveGroup",12,1,1,0,18,22
"net.sf.jabref.gui.groups.UndoableChangeAssignment",7,1,2,0,9,6
