Chidamber-Kemerer metrics,Mon, 18 May 2020 19:36:03 CEST,,,,,,,,
Class,CBO,CSOA,DIT,LCOM,MPC,NOC,OCavg,OPavg,RFC,WMC
net.sf.jabref.gui.ImportInspectionDialog.DownloadFile,8,5,0,1,29,0,2,0.67,19,6
net.sf.jabref.gui.ImportInspectionDialog.EntrySelectionListener,3,2,0,1,8,0,2,1,3,2
net.sf.jabref.gui.ImportInspectionDialog.EntryTable,3,6,0,4,12,0,1.6,1.8,12,8
net.sf.jabref.gui.ImportInspectionDialog.EntryTableFormat,10,6,0,1,26,0,5.67,1,15,17
net.sf.jabref.gui.ImportInspectionDialog.LinkLocalFile,8,5,0,1,36,0,1.67,0.67,18,5
net.sf.jabref.gui.ImportInspectionDialog.OkListener,23,6,0,1,73,0,5.5,1.33,43,33
net.sf.jabref.gui.ImportInspectionDialog.SelectionButton,1,3,0,1,3,0,1.5,1,2,3
net.sf.jabref.gui.ImportInspectionDialog.TableClickListener,13,10,0,3,129,0,3.1,1.1,36,31
net.sf.jabref.gui.JabRefFrame,202,206,0,6,16,0,2.24,0.59,224,161
net.sf.jabref.gui.JabRefFrame.BibtexKeyPatternAction,5,6,1,1,8,0,1.5,0.5,9,3
net.sf.jabref.gui.JabRefFrame.ChangeTabAction,6,6,1,1,12,0,3.5,1,6,7
net.sf.jabref.gui.JabRefFrame.CloseAction,6,5,1,1,8,0,1,0.5,8,2
net.sf.jabref.gui.JabRefFrame.CloseAllDatabasesAction,3,4,1,1,2,0,2,1,2,2
net.sf.jabref.gui.JabRefFrame.CloseDatabaseAction,8,5,1,1,11,0,1,0.5,11,2
net.sf.jabref.gui.JabRefFrame.CloseOtherDatabasesAction,3,4,1,1,4,0,3,1,3,3
net.sf.jabref.gui.JabRefFrame.CustomizeEntryTypeAction,4,5,1,1,4,0,1,0.5,5,2
net.sf.jabref.gui.JabRefFrame.CustomizeExportsAction,4,5,1,1,3,0,1,0.5,5,2
net.sf.jabref.gui.JabRefFrame.CustomizeImportsAction,4,5,1,1,3,0,1,0.5,5,2
net.sf.jabref.gui.JabRefFrame.DatabasePropertiesAction,4,6,1,1,6,0,1.5,0.5,8,3
net.sf.jabref.gui.JabRefFrame.DecreaseTableFontSizeAction,9,5,1,1,15,0,2,0.5,10,4
net.sf.jabref.gui.JabRefFrame.EditAction,4,6,1,1,13,0,1.5,3,7,3
net.sf.jabref.gui.JabRefFrame.EditModeAction,5,3,0,1,27,0,1.67,0.33,14,5
net.sf.jabref.gui.JabRefFrame.GenFieldsCustomizationAction,4,5,1,1,4,0,1,0.5,5,2
net.sf.jabref.gui.JabRefFrame.GeneralAction,3,12,1,1,22,0,1.12,3.12,13,9
net.sf.jabref.gui.JabRefFrame.IncreaseTableFontSizeAction,9,5,1,1,15,0,1.5,0.5,10,3
net.sf.jabref.gui.JabRefFrame.MyGlassPane,1,2,0,1,4,0,1,0,2,2
net.sf.jabref.gui.JabRefFrame.SelectKeysAction,8,2,0,1,10,0,1,0.5,8,2
net.sf.jabref.gui.JabRefFrame.ShowPrefsAction,5,5,1,1,7,0,1,0.5,8,2
net.sf.jabref.gui.JabRefFrame.ToolBar,4,7,1,1,13,0,3,1,4,6
net.sf.jabref.gui.MergeDialog,6,19,0,1,48,0,1,0.43,10,8
net.sf.jabref.gui.OSXCompatibleToolbar,12,5,0,1,5,1,1.4,1,5,7
net.sf.jabref.gui.OpenFileFilter,1,8,0,3,26,0,1.67,0.83,6,10
net.sf.jabref.gui.ParserResultWarningDialog,7,2,0,1,21,0,2.33,2.5,7,7
net.sf.jabref.gui.PreambleEditor,18,12,0,2,6,0,1.12,0.8,20,9
net.sf.jabref.gui.PreambleEditor.CloseAction,4,2,0,1,5,0,1,0.5,5,2
net.sf.jabref.gui.PreambleEditor.FieldListener,2,1,0,1,3,0,2,1,2,2
net.sf.jabref.gui.PreambleEditor.RedoAction,5,2,0,1,4,0,1,0.5,4,2
net.sf.jabref.gui.PreambleEditor.StoreFieldAction,9,2,0,1,21,0,3.5,0.5,13,7
net.sf.jabref.gui.PreambleEditor.UndoAction,5,2,0,1,4,0,1,0.5,4,2
net.sf.jabref.gui.PreviewPanel,31,30,0,1,11,0,1.24,0.81,31,21
net.sf.jabref.gui.PreviewPanel.CloseAction,5,2,0,1,6,0,1,0.5,4,2
net.sf.jabref.gui.PreviewPanel.CopyPreviewAction,7,2,0,1,11,0,1,0.5,6,2
net.sf.jabref.gui.PreviewPanel.PrintAction,9,2,0,1,18,0,1,0.5,8,2
net.sf.jabref.gui.ReplaceStringDialog,9,16,0,3,88,0,2.14,1,15,15
