V5-0,Mon, 18 May 2020 19:09:08 CEST,,,,,,,,
Class,CBO,CSOA,DIT,LCOM,MPC,NOC,OCavg,OPavg,RFC,WMC
org.jabref.gui.externalfiletype.EditExternalFileTypesAction,5,7,1,1,1,0,1,0,3,1
org.jabref.gui.externalfiletype.ExternalFileType,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,7,n/a
org.jabref.gui.externalfiletype.ExternalFileTypes,54,18,0,3,92,0,2.86,0.71,30,40
org.jabref.gui.externalfiletype.StandardExternalFileType,7,41,n/a,5,n/a,n/a,1,1,7,6
org.jabref.gui.externalfiletype.UnknownExternalFileType,9,15,0,5,1,0,1,0.43,7,7
org.jabref.gui.fieldeditors.AbstractEditorViewModel,31,11,1,3,15,11,1.4,1,14,7
org.jabref.gui.fieldeditors.BibtexKeyEditor,15,13,0,2,14,0,1,2,15,4
org.jabref.gui.fieldeditors.BibtexKeyEditorViewModel,9,17,2,1,1,0,1,3.5,4,2
org.jabref.gui.fieldeditors.ContextMenuAddable,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
org.jabref.gui.fieldeditors.DateEditor,9,11,0,2,10,0,1,1.25,9,4
org.jabref.gui.fieldeditors.DateEditorViewModel,7,14,2,1,7,0,1.5,2,3,6
org.jabref.gui.fieldeditors.EditorTextArea,9,9,0,3,15,0,1,0.83,9,6
org.jabref.gui.fieldeditors.EditorTextArea.PasteActionHandler,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
org.jabref.gui.fieldeditors.EditorTextField,7,6,0,2,13,0,1,1,6,4
org.jabref.gui.fieldeditors.EditorTypeEditorViewModel,6,24,4,2,16,0,1,1.33,7,3
org.jabref.gui.fieldeditors.EditorValidator,9,3,0,1,3,0,1.5,1.5,4,3
org.jabref.gui.fieldeditors.FieldEditorFX,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,6,n/a
org.jabref.gui.fieldeditors.FieldEditors,40,3,0,1,38,0,11,6,34,22
org.jabref.gui.fieldeditors.FieldNameLabel,2,1,0,0,5,0,1,1,2,1
org.jabref.gui.fieldeditors.GenderEditorViewModel,6,24,4,2,16,0,1,1.33,7,3
org.jabref.gui.fieldeditors.IdentifierEditor,16,17,0,2,27,0,1.14,1.43,21,8
org.jabref.gui.fieldeditors.IdentifierEditorViewModel,17,27,2,3,40,0,1.1,0.7,21,11
org.jabref.gui.fieldeditors.JournalEditor,14,12,0,2,14,0,1,1.2,15,5
org.jabref.gui.fieldeditors.JournalEditorViewModel,7,14,2,1,10,0,2.5,2,5,5
org.jabref.gui.fieldeditors.KeywordsEditor,7,14,1,1,1,0,1,2,3,2
org.jabref.gui.fieldeditors.LinkedEntriesEditor,12,11,0,2,16,0,1,1.25,15,4
org.jabref.gui.fieldeditors.LinkedEntriesEditorViewModel,11,18,2,4,15,0,1.14,1.2,9,8
org.jabref.gui.fieldeditors.LinkedFileViewModel,30,48,1,3,195,0,1.65,0.47,79,56
org.jabref.gui.fieldeditors.LinkedFilesEditor,24,25,0,5,170,0,1.73,1.4,59,26
org.jabref.gui.fieldeditors.LinkedFilesEditorViewModel,29,35,2,2,92,0,1.35,1.06,51,23
org.jabref.gui.fieldeditors.MapBasedEditorViewModel,10,21,3,1,n/a,6,1.33,0.8,7,8
org.jabref.gui.fieldeditors.MonthEditorViewModel,8,20,3,3,10,0,1.5,1.25,7,9
org.jabref.gui.fieldeditors.OptionEditor,6,11,0,2,15,0,1,0.5,9,4
org.jabref.gui.fieldeditors.OptionEditorViewModel,7,15,2,3,n/a,2,1,1,5,1
org.jabref.gui.fieldeditors.OwnerEditor,11,12,0,2,11,0,1,1.2,12,5
org.jabref.gui.fieldeditors.OwnerEditorViewModel,6,14,2,1,3,0,1,2,4,2
org.jabref.gui.fieldeditors.PaginationEditorViewModel,6,24,4,2,16,0,1,1.33,7,3
org.jabref.gui.fieldeditors.PatentTypeEditorViewModel,6,24,4,2,26,0,1,1.33,7,3
org.jabref.gui.fieldeditors.PersonsEditor,16,12,0,3,16,0,1.25,1.5,19,5
